time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/value_loss,train/approx_kl,train/n_updates,eval/mean_reward,eval/mean_ep_length
34575,712,159,0.8627048699999998,5.0,5518000,-31.299349980354307,1e-06,-0.00013523314559344635,0.026073182001709938,0.9757975041866302,0.04676904782885685,0.054509811103343964,0.1,0.0018335329343972262,0.0015150408,14220,,
34621,713,159,0.8658857799999998,5.0,5525750,-31.299866099357605,1e-06,-0.0011690244965288051,0.025870827957987785,0.9767339769750834,0.04114047637558542,0.05450701713562012,0.1,0.0018367458201828412,0.0015424117,14240,,
34666,714,159,0.8627540499999999,5.0,5533500,-31.300343255996705,1e-06,-0.0007891917195771825,0.02828099951148033,0.9760918915271759,0.023674999997601844,0.05450758710503578,0.1,0.001919257403933443,0.0012598626,14260,,
34712,715,159,0.8621605000000001,5.0,5541250,-31.300384454727173,1e-06,-0.0010142296037128596,0.026099348440766335,0.9770709834992886,0.042373809717828406,0.05450666695833206,0.1,0.0018905809306306765,0.0017131651,14280,,
34758,716,159,0.86370384,5.0,5549000,-31.30060923576355,1e-06,-0.0015763036216950342,0.028730612248182297,0.9760106820613146,0.04531190490990412,0.054506462067365646,0.1,0.0017979170969920234,0.0018937966,14300,,
34804,717,159,0.85723849,5.0,5556750,-31.30076726436615,1e-06,-0.0007841703758121987,0.029516085982322693,0.97695716843009,0.05792142877762672,0.054505854845047,0.1,0.0017184667076799087,0.0017509165,14320,,
34849,718,159,0.8616916900000001,5.0,5564500,-31.30110983848572,1e-06,-0.0013916509604410842,0.02267870120704174,0.9763055872172117,0.04102857145597227,0.054504651576280594,0.1,0.0018405212814104743,0.0017182787,14340,,
34895,719,159,0.86439149,5.0,5572250,-31.301455006599426,1e-06,-0.001071449610695865,0.019637342542409897,0.9769397862255573,0.05374761929298984,0.05450407788157463,0.1,0.0018205347229377368,0.0016703885,14360,,
34960,720,159,0.8617890399999999,5.0,5580000,-31.301938591003417,1e-06,-0.00046339388362416135,0.02638258785009384,0.9763226360082626,0.03626071431674063,0.054502032697200775,0.1,0.001821839587937575,0.0019949314,14380,0.8680748779714319,5.0
35006,721,159,0.8592606899999998,5.0,5587750,-31.30246329307556,1e-06,-0.00010174101840027206,0.03042130172252655,0.9765088148415089,0.03862738123832969,0.0545014888048172,0.1,0.0018902081405394711,0.0014486586,14400,,
35052,722,159,0.86180711,5.0,5595500,-31.302853469848632,1e-06,-0.0004790020598044986,0.024425560608506203,0.976718720048666,0.053719047927006616,0.05449983850121498,0.1,0.0018161195071297698,0.0019753226,14420,,
35098,723,159,0.86188478,5.0,5603250,-31.30341667175293,1e-06,-0.0019531638631791193,0.027509693056344986,0.9773241095244884,0.029565476194256916,0.05449870228767395,0.1,0.0017878471352742054,0.0013322714,14440,,
35144,724,159,0.86175379,5.0,5611000,-31.303883066177367,1e-06,-0.001373446147169708,0.02773287147283554,0.9754167720675468,0.0356321429007221,0.05449744313955307,0.1,0.0019149984544492326,0.0015305717,14460,,
35189,725,159,0.8636843000000001,5.0,5618750,-31.304328174591063,1e-06,-0.0009670368032652154,0.025792710483074188,0.9769707173109055,0.035014285582874435,0.05449644848704338,0.1,0.0016594236288801766,0.0017164345,14480,,
35234,726,159,0.8657826399999999,5.0,5626500,-31.304712381362915,1e-06,-0.0009286869788952768,0.026475287973880768,0.9767024386674166,0.03624166667956161,0.054495394229888916,0.1,0.0017096854667761363,0.0013651806,14500,,
35280,727,159,0.8630666400000001,5.0,5634250,-31.305088415145875,1e-06,-0.0016540555210519958,0.028480499982833862,0.9774025529623032,0.02949404760496691,0.054494474083185196,0.1,0.001778213104698807,0.001312519,14520,,
35326,728,159,0.86059622,5.0,5642000,-31.305223636627197,1e-06,-0.0020215088830274385,0.02310858480632305,0.9769799392670393,0.03684285720606567,0.054494671523571014,0.1,0.0016899341411772185,0.0014946043,14540,,
35372,729,159,0.8632303099999998,5.0,5649750,-31.305423340797425,1e-06,-0.0024651316140372435,0.02456887811422348,0.9767297264188528,0.043570238031970805,0.05449339374899864,0.1,0.0017914251144975424,0.0017712918,14560,,
35437,730,159,0.8652698199999999,5.0,5657500,-31.30584496498108,1e-06,-0.0014890285408348625,0.02413899637758732,0.9763740431517363,0.04240000039601,0.05449261516332626,0.1,0.0018861605843994767,0.0014626242,14580,0.8703911274975276,5.0
35483,731,159,0.8654130500000001,5.0,5665250,-31.306204690933228,1e-06,-0.000537519486173883,0.02618846856057644,0.9774984195828438,0.02619047624320956,0.054491374641656876,0.1,0.0015872875315835699,0.0012625267,14600,,
35529,732,159,0.86509858,5.0,5673000,-31.306668725013733,1e-06,-0.0018380473029622714,0.02963632345199585,0.9778562039136887,0.031059523885778616,0.05449026823043823,0.1,0.0016356554870435502,0.0016234699,14620,,
35575,733,159,0.8621035099999999,5.0,5680750,-31.306955046653748,1e-06,-0.0017744013509024725,0.025309858843684196,0.9768287874758244,0.05010833342385013,0.05449002981185913,0.1,0.0017080609904951416,0.0015773528,14640,,
35622,734,159,0.8630984199999999,5.0,5688500,-31.307074551582335,1e-06,-0.00232754685330641,0.027917364612221718,0.9777257852256298,0.03805595251877094,0.05448954552412033,0.1,0.001829738317464944,0.0015191955,14660,,
35668,735,159,0.8637033899999998,5.0,5696250,-31.307232217788695,1e-06,-0.002215900740115049,0.02675013616681099,0.9775213859975338,0.04474761920777382,0.05448928475379944,0.1,0.0017769331065937877,0.0015664359,14680,,
35714,736,159,0.8621322899999998,5.0,5704000,-31.307135138511658,1e-06,-0.0018009531038102144,0.028577659279108047,0.9766768552362919,0.041810714264283885,0.054490022361278534,0.1,0.001726607809541747,0.0016546897,14700,,
35759,737,159,0.8636658300000001,5.0,5711750,-31.307358298301697,1e-06,-0.0013566565265995,0.028254445642232895,0.9774191379547119,0.044351190614397636,0.0544879324734211,0.1,0.001705115892109461,0.0014349637,14720,,
35804,738,159,0.86117857,5.0,5719500,-31.308071937561035,1e-06,-0.0010893304402398484,0.026451854035258293,0.9773104656487703,0.03304404750786489,0.05448654666543007,0.1,0.0018286798498593272,0.0014851224,14740,,
35851,739,159,0.8639607199999999,5.0,5727250,-31.308439831733704,1e-06,-0.00025940965910564273,0.027757152915000916,0.9772017262876034,0.02294761897821445,0.054485976696014404,0.1,0.0018209629229386337,0.0011719072,14760,,
35916,740,159,0.8634871400000002,5.0,5735000,-31.30866698741913,1e-06,-0.002436136083530176,0.024775832891464233,0.9776123184710741,0.0536535717206425,0.05448533967137337,0.1,0.00170485615497455,0.0016884923,14780,0.8691653864720681,5.0
35963,741,159,0.86391289,5.0,5742750,-31.308819909095764,1e-06,-0.0023562004516156465,0.028238829225301743,0.9770621601492167,0.040711904992349446,0.054485220462083817,0.1,0.0017275467340368777,0.001526112,14800,,
36009,742,159,0.86557971,5.0,5750500,-31.308860111236573,1e-06,-0.000325239137764779,0.027768298983573914,0.9784680306911469,0.04653571425471455,0.054485078901052475,0.1,0.0016222415583615657,0.0018791959,14820,,
36055,743,159,0.8619102200000001,5.0,5758250,-31.308990936279297,1e-06,0.00038893692181335204,0.027316508814692497,0.9783369097858667,0.03635000018024584,0.05448457971215248,0.1,0.00166072943538893,0.0015429789,14840,,
36101,744,159,0.8647978500000001,5.0,5766000,-31.3094593667984,1e-06,-0.0008386548436948616,0.030889827758073807,0.9786158818751574,0.04313095263001742,0.054482601583004,0.1,0.001548788131622132,0.0015489392,14860,,
36147,745,159,0.86455288,5.0,5773750,-31.3100958776474,1e-06,-0.001953177912408659,0.02678305096924305,0.9794366043061018,0.0449261905887397,0.054481301456689835,0.1,0.001536892645963235,0.0015793836,14880,,
36193,746,159,0.8646775099999999,5.0,5781500,-31.31032247066498,1e-06,-0.0010802424750962847,0.02870955690741539,0.9784853979945183,0.03768571425025584,0.05448153614997864,0.1,0.0017021525153541007,0.0012976655,14900,,
36240,747,159,0.8642146599999999,5.0,5789250,-31.31049298286438,1e-06,-0.0028743706350719124,0.02316312864422798,0.9778399262577295,0.04197142854070989,0.05448023974895477,0.1,0.0016910105408169329,0.0014458818,14920,,
36285,748,159,0.86503641,5.0,5797000,-31.310748500823976,1e-06,-0.00128379770669099,0.026903504505753517,0.9772468246519566,0.037641666703566445,0.054480377584695816,0.1,0.0018417400773614646,0.0016572407,14940,,
