time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
251,3271750,569,5.0,0.8226008399999999,12996,0.007516666697726274,0.0013174588,5e-06,0.9643408581614494,0.18134908378124237,-6.0565016587575276,0.004312550649046898,11360,0.1,0.002740863545720155,-0.0007182144283385779,,
251,3277500,570,5.0,0.82345844,13036,0.016114285766767957,0.0012653754,5e-06,0.9651776030659676,0.18134883046150208,-6.056429143179031,0.00023858336498960853,11380,0.1,0.0029790249375981235,0.0004985173564491579,0.8427866776831244,5.0
251,3283250,571,5.0,0.8231457600000001,13057,0.012199999877096464,0.0016228469,5e-06,0.9649799540638924,0.18134580552577972,-6.056655665238698,0.003318946808576584,11400,0.1,0.0030193275374282773,0.00015103483196900284,,
251,3289000,572,5.0,0.82665482,13076,0.009766666682359452,0.0011502529,5e-06,0.9614815674722195,0.18134474754333496,-6.0569024642308555,-0.003079426707699895,11420,0.1,0.002976419991076303,3.2708547581750126e-06,,
251,3294750,573,5.0,0.82156217,13096,0.010826666636082033,0.0013938206,5e-06,0.96434460952878,0.18134111166000366,-6.057146571477254,-0.001142775872722268,11440,0.1,0.00275637747021392,-0.0008799190225239191,,
251,3300500,574,5.0,0.82344728,13118,0.009026666739955544,0.0012141396,5e-06,0.9635100103914738,0.1813437044620514,-6.05728505452474,0.0020809490233659744,11460,0.1,0.0032450062804855405,-0.0011251989236432537,,
251,3306250,575,5.0,0.8251833700000002,13138,0.0036666666778425376,0.0009771833,5e-06,0.9656159095466137,0.18134333193302155,-6.057086849212647,0.005168369505554438,11480,0.1,0.002560005154615889,-0.0009519689609757576,,
251,3312000,576,5.0,0.8225846399999998,13158,0.004426666686000924,0.0012828837,5e-06,0.9632252566516399,0.18133987486362457,-6.057323662439982,0.00492957653477788,11500,0.1,0.0029044197065134845,-0.0002249798568813451,,
251,3317750,577,5.0,0.82564457,13178,0.002900000021327287,0.00091443816,5e-06,0.9648752883076668,0.18133753538131714,-6.057669953505198,0.0031779936980456114,11520,0.1,0.0029493828595150264,-0.0006085917398042096,,
251,3323500,578,5.0,0.8211674600000001,13199,0.014733333332050179,0.0013865406,5e-06,0.966222770512104,0.1813327670097351,-6.058051970269945,0.0049001844599843025,11540,0.1,0.0029277478855672394,0.0003312383279881025,,
251,3329250,579,5.0,0.8214609300000001,13218,0.009433333294388528,0.0014145348,5e-06,0.9675096832215786,0.18132980167865753,-6.058537511030833,0.000986417755484581,11560,0.1,0.002502625923564968,-0.00034191071839019446,,
251,3335000,580,5.0,0.8207530599999998,13258,0.0036333333351649343,0.0012301881,5e-06,0.96676030382514,0.18132847547531128,-6.058770326773326,-0.0009264356922358274,11580,0.1,0.0024539153955023115,-0.0006083402387938734,0.845281617953011,5.0
